,precision,recall,f1-score,support
animal dander (substance),0.5789473684210527,1.0,0.7333333333333333,11.0
aspirin,0.0,0.0,0.0,1.0
bee venom (substance),0.0,0.0,0.0,0.0
"bee venom (substance)

the symptoms of anaphylaxis and wheal are commonly associated with an allergic reaction to bee venom, making it the most likely diagnosis from the given options.",0.0,0.0,0.0,0.0
"bee venom (substance)

the symptoms of wheal and allergic angioedema are commonly associated with allergic reactions to insect stings, such as those from bees.",0.0,0.0,0.0,0.0
"bee venom (substance)

the symptoms of wheal and dyspnea are indicative of an allergic reaction, and bee venom is known to cause such reactions, including skin wheals and respiratory difficulties.",0.0,0.0,0.0,0.0
cow's milk (substance),0.3333333333333333,0.5,0.4,2.0
"cow's milk (substance)

the symptoms of skin eruption and vomiting are commonly associated with an allergic reaction to cow's milk.",0.0,0.0,0.0,0.0
fish (substance),0.5,0.16666666666666666,0.25,6.0
grass pollen (substance),0.0,0.0,0.0,0.0
latex (substance),0.0,0.0,0.0,2.0
mold (organism),0.0,0.0,0.0,4.0
peanut (substance),0.0,0.0,0.0,7.0
penicillin v,0.0,0.0,0.0,3.0
shellfish (substance),0.5,0.1111111111111111,0.18181818181818182,9.0
"shellfish (substance)

the symptoms of dyspnea and vomiting are often associated with allergic reactions to shellfish.",0.0,0.0,0.0,0.0
"shellfish (substance)

the symptoms of dyspnea and vomiting can be associated with an allergic reaction to shellfish.",0.0,0.0,0.0,0.0
tree nut (substance),0.75,0.6,0.6666666666666666,5.0
accuracy,0.34,0.34,0.34,0.34
macro avg,0.14790448343079923,0.13209876543209875,0.12398989898989897,50.0
weighted avg,0.3657017543859649,0.34,0.30672727272727274,50.0
